StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q26,Q2,Q13,Q17,Q19,Q20,Q22,Q3,Q14,Q16,Q18,Q23,Q25,Q7,Q8,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How much do you generally agree with the government's response to the Covid-19 crisis?,How much do you agree that wearing a mask (or a nose-mouth cover) when you leave home (if you are not going to a shop/ supermarket or are not using public transportation) is useful to control the spread of Covid-19 ?,"How much do you agree that the social distancing order
is useful to combat Covid-19 ?","How much do
you agree that the closure of schools and the resulting home-schooling is
necessary to fight against Covid-19?","How much do
you agree with the necessity of the lockdown against Covid-19, that is slowly getting repealed by
the government?","How much do you agree that the travel restrictions during Covid-19 are
necessary?","How much do
you think that centralized quarantine during Covid-19 is necessary?","Covering your nose and mouth prevents others from catching the virus you may have, but if the person in front of you has no cover, it would increase the risk of you catching the virus. How much do you agree that wearing a mask is useful to control the spread of Covid-19?","Covid-19
is said to be contracted also via air. A distance of 1,5 meters can make the
difference between having an infection or not. How much do you agree that the social
distancing order is useful?","Children are said to show little symptoms when
catching Covid-19 while being fully contagious, 
which poses a danger to people most at risk of having complications
caused by Covid-19. How much do you agree that the closure of schools and the resulting
home-schooling is necessary?","In big crowds of people, the corona-virus is
most likely to be contracted easily and to a lot of people. How much do you agree with
necessity of the lockdown, that is slowly getting repealed by the government?","Travel restrictions may slow down the outbreak
of the virus in countries, as people who live in a country with more cases of Covid-19 can't travel to countries with less cases. How much do you agree that the
travel restrictions are necessary?","It is known that the central quarantine reduces mobility, shown by German neighborhoods which complied to the measure slowing down Covid-19 spread. How much do you agree that the quarantine is necessary?",Age,Gender,Do you live in an urban or rural area?,Some people are at higher risk for severe illness from Covid-19 due to age and/or health complications. Are you one of these people?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26""}","{""ImportId"":""QID2""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID3""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}"
2020-06-10 12:58:35,2020-06-10 13:00:06,IP Address,77.47.96.130,100,90,True,2020-06-10 13:00:06,R_bI9I9cu8UJWujp7,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,Moderately agree,Moderately useless,Slightly useful,Moderately Necessary,Slightly Unnecessary,Slightly Unnecessary,Moderately Unnecessary,,,,,,,18 - 24,Female,Urban area,No
2020-06-10 12:57:54,2020-06-10 13:02:58,IP Address,77.47.80.88,100,304,True,2020-06-10 13:02:58,R_22Eq3JVIGuBkYKi,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,Moderately agree,,,,,,,Extremely useful,Moderately useful,Moderately Necessary,Moderately Necessary,Moderately Necessary,Moderately Unnecessary,18 - 24,Male,Urban area,No
2020-06-10 13:03:45,2020-06-10 13:05:53,IP Address,87.157.9.251,100,128,True,2020-06-10 13:05:54,R_2v8KL7iGepmIaIZ,,,,,48.676605224609375,12.497406005859375,anonymous,EN,Strongly disagree,,,,,,,Moderately useful,Extremely useless,Moderately Necessary,Extremely Unnecessary,Slightly Unnecessary,Moderately Necessary,18 - 24,Male,Urban area,No
2020-06-10 13:14:14,2020-06-10 13:20:15,IP Address,62.216.206.108,100,360,True,2020-06-10 13:20:15,R_21zjJ2umAOcY5NS,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,Strongly agee,,,,,,,Moderately useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Moderately Necessary,18 - 24,Male,Urban area,No
2020-06-10 13:31:56,2020-06-10 13:33:10,IP Address,85.7.231.227,100,74,True,2020-06-10 13:33:10,R_WeNBAjdWszxaQSJ,,,,,47.36639404296875,8.554595947265625,anonymous,EN,Moderately agree,Slightly useful,Moderately useful,Moderately Necessary,Slightly Necessary,Moderately Necessary,Slightly Necessary,,,,,,,18 - 24,Male,Urban area,No
2020-06-10 13:37:33,2020-06-10 13:39:19,IP Address,141.84.69.66,100,106,True,2020-06-10 13:39:20,R_3O00NCODBfVGLNe,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,Moderately agree,Extremely useless,Extremely useful,Extremely Necessary,Moderately Necessary,Extremely Necessary,Moderately Necessary,,,,,,,25 - 34,Female,Urban area,No
2020-06-10 13:47:06,2020-06-10 13:47:55,IP Address,2.207.18.124,100,49,True,2020-06-10 13:47:55,R_3JgUoqhaENBBTOX,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,Strongly agee,,,,,,,Extremely useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,18 - 24,Female,Urban area,
2020-06-10 14:12:23,2020-06-10 14:19:59,IP Address,95.118.26.242,100,456,True,2020-06-10 14:19:59,R_xhirT7ohuaH8swh,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,Moderately agree,,,,,,,Extremely useful,Moderately useful,Moderately Necessary,Moderately Necessary,Slightly Necessary,Moderately Necessary,18 - 24,Male,Urban area,No
2020-06-10 14:20:44,2020-06-10 14:22:11,IP Address,45.117.183.50,100,86,True,2020-06-10 14:22:11,R_sApbh7CY7vJ9szv,,,,,28.6331024169921875,77.220703125,anonymous,EN,Moderately agree,,,,,,,Moderately useful,Extremely useful,Extremely Necessary,Moderately Necessary,Moderately Necessary,Extremely Necessary,18 - 24,Male,Urban area,No
2020-06-10 14:21:50,2020-06-10 14:24:15,IP Address,95.91.234.94,100,144,True,2020-06-10 14:24:15,R_1gvcE4g93JxUOwu,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,Strongly agee,,,,,,,Extremely useful,Extremely useful,Extremely Necessary,Extremely Necessary,Moderately Necessary,Moderately Necessary,18 - 24,Male,Urban area,Yes
2020-06-10 14:44:27,2020-06-10 14:46:31,IP Address,95.91.234.94,100,124,True,2020-06-10 14:46:31,R_OiNUbZOKK9oiy6B,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,Strongly agee,Slightly useful,Extremely useful,Moderately Necessary,Slightly Unnecessary,Extremely Necessary,Slightly Unnecessary,,,,,,,18 - 24,Male,Urban area,No
2020-06-10 07:26:25,2020-06-10 15:48:28,IP Address,77.47.80.88,100,30122,True,2020-06-10 15:48:28,R_Z2lm0orRlYICEx3,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,Moderately disagree,Extremely useless,Slightly useful,Moderately Necessary,Slightly Necessary,Moderately Necessary,Slightly Necessary,,,,,,,18 - 24,Male,Urban area,No
