StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q26,Q2,Q13,Q17,Q19,Q20,Q22,Q3,Q14,Q16,Q18,Q23,Q25,Q7,Q8,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How much do you generally agree with the government's response to the Covid-19 crisis?,How much do you agree that wearing a mask (or a nose-mouth cover) when you leave home (if you are not going to a shop/ supermarket or are not using public transportation) is useful to control the spread of Covid-19 ?,"How much do you agree that the social distancing order
is useful to combat Covid-19 ?","How much do
you agree that the closure of schools and the resulting home-schooling is
necessary to fight against Covid-19?","How much do
you agree with the necessity of the lockdown against Covid-19, that is slowly getting repealed by
the government?","How much do you agree that the travel restrictions during Covid-19 are
necessary?","How much do
you think that centralized quarantine during Covid-19 is necessary?","Covering your nose and mouth prevents others from catching the virus you may have, but if the person in front of you has no cover, it would increase the risk of you catching the virus. How much do you agree that wearing a mask is useful to control the spread of Covid-19?","Covid-19
is said to be contracted also via air. A distance of 1,5 meters can make the
difference between having an infection or not. How much do you agree that the social
distancing order is useful?","Children are said to show little symptoms when
catching Covid-19 while being fully contagious, 
which poses a danger to people most at risk of having complications
caused by Covid-19. How much do you agree that the closure of schools and the resulting
home-schooling is necessary?","In big crowds of people, the corona-virus is
most likely to be contracted easily and to a lot of people. How much do you agree with
necessity of the lockdown, that is slowly getting repealed by the government?","Travel restrictions may slow down the outbreak
of the virus in countries, as people who live in a country with more cases of Covid-19 can't travel to countries with less cases. How much do you agree that the
travel restrictions are necessary?","It is known that the central quarantine reduces mobility, shown by German neighborhoods which complied to the measure slowing down Covid-19 spread. How much do you agree that the quarantine is necessary?",Age,Gender,Do you live in an urban or rural area?,Some people are at higher risk for severe illness from Covid-19 due to age and/or health complications. Are you one of these people?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26""}","{""ImportId"":""QID2""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID3""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}"
2020-06-10 12:58:35,2020-06-10 13:00:06,IP Address,77.47.96.130,100,90,True,2020-06-10 13:00:06,R_bI9I9cu8UJWujp7,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,5,3,2,4,4,5,,,,,,,18 - 24,Female,Urban area,No
2020-06-10 13:31:56,2020-06-10 13:33:10,IP Address,85.7.231.227,100,74,True,2020-06-10 13:33:10,R_WeNBAjdWszxaQSJ,,,,,47.36639404296875,8.554595947265625,anonymous,EN,2,3,2,2,3,2,3,,,,,,,18 - 24,Male,Urban area,No
2020-06-10 13:37:33,2020-06-10 13:39:19,IP Address,141.84.69.66,100,106,True,2020-06-10 13:39:20,R_3O00NCODBfVGLNe,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,6,1,1,2,1,2,,,,,,,25 - 34,Female,Urban area,No
2020-06-10 14:44:27,2020-06-10 14:46:31,IP Address,95.91.234.94,100,124,True,2020-06-10 14:46:31,R_OiNUbZOKK9oiy6B,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,1,3,1,2,4,1,4,,,,,,,18 - 24,Male,Urban area,No
2020-06-10 07:26:25,2020-06-10 15:48:28,IP Address,77.47.80.88,100,30122,True,2020-06-10 15:48:28,R_Z2lm0orRlYICEx3,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,5,6,3,2,3,2,3,,,,,,,18 - 24,Male,Urban area,No
2020-06-10 15:54:53,2020-06-10 15:57:15,IP Address,212.204.102.90,100,142,True,2020-06-10 15:57:15,R_3kzeKJaiSiVoX85,,,,,48.248992919921875,11.6510009765625,anonymous,EN,1,4,1,2,1,1,1,,,,,,,18 - 24,Male,Urban area,No
2020-06-10 16:13:46,2020-06-10 16:16:26,IP Address,200.161.29.227,100,159,True,2020-06-10 16:16:27,R_2SubYB09JzQXK6K,,,,,-22.8950958251953125,-47.0438995361328125,anonymous,EN,2,1,1,1,2,1,5,,,,,,,18 - 24,Female,Urban area,No
2020-06-10 16:05:24,2020-06-10 16:18:14,IP Address,187.119.238.23,100,770,True,2020-06-10 16:18:15,R_cRSSOUVtXBPFGpP,,,,,-23.6300048828125,-46.6322021484375,anonymous,EN,2,2,1,1,2,1,5,,,,,,,18 - 24,Female,Urban area,No
2020-06-10 16:20:36,2020-06-10 16:22:51,IP Address,177.35.229.174,100,134,True,2020-06-10 16:22:51,R_1d4yNn9TuMm7i84,,,,,-22.9774932861328125,-46.9748992919921875,anonymous,EN,2,1,1,1,2,1,5,,,,,,,18 - 24,Female,Urban area,No
2020-06-11 02:34:14,2020-06-11 02:35:26,IP Address,62.216.208.144,100,71,True,2020-06-11 02:35:26,R_1LBbsmc6l5q8Xnw,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,3,2,5,2,3,3,,,,,,,18 - 24,Female,Urban area,No
2020-06-11 02:36:56,2020-06-11 02:38:42,IP Address,77.29.245.34,100,106,True,2020-06-11 02:38:42,R_3izflOhdIl2s6oi,,,,,41.998504638671875,21.431304931640625,anonymous,EN,5,6,2,6,5,4,5,,,,,,,18 - 24,Male,Urban area,No
2020-06-11 02:44:32,2020-06-11 02:45:54,IP Address,95.238.220.95,100,81,True,2020-06-11 02:45:54,R_2RPoLYLhupxBaJj,,,,,41.8903961181640625,12.5124053955078125,anonymous,EN,2,2,1,1,1,3,2,,,,,,,18 - 24,Male,Urban area,No
2020-06-11 05:38:01,2020-06-11 05:39:27,IP Address,46.128.41.173,100,85,True,2020-06-11 05:39:27,R_2e8qkGwstC4u1i3,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,3,1,3,2,5,2,1,,,,,,,18 - 24,Male,Urban area,No
2020-06-11 06:16:15,2020-06-11 06:18:18,IP Address,79.248.107.114,100,122,True,2020-06-11 06:18:18,R_4PaXD7YphhHgm9r,,,,,48.0771026611328125,11.6580963134765625,anonymous,EN,1,1,1,1,2,3,2,,,,,,,18 - 24,Male,Urban area,No
2020-06-11 06:19:42,2020-06-11 06:20:53,IP Address,84.169.235.111,100,71,True,2020-06-11 06:20:54,R_27Wm8DxuqH2toOl,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,1,3,1,2,3,2,4,,,,,,,18 - 24,Male,Urban area,No
2020-06-11 06:31:16,2020-06-11 06:32:57,IP Address,24.134.226.249,100,101,True,2020-06-11 06:32:57,R_3fpGfvbCo1iIlVL,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,6,1,1,2,2,3,,,,,,,18 - 24,Female,Urban area,No
