StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q26,Q2,Q13,Q17,Q19,Q20,Q22,Q3,Q14,Q16,Q18,Q23,Q25,Q7,Q8,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How much do you generally agree with the government's response to the Covid-19 crisis?,How much do you agree that wearing a mask (or a nose-mouth cover) when you leave home (if you are not going to a shop/ supermarket or are not using public transportation) is useful to control the spread of Covid-19 ?,"How much do you agree that the social distancing order
is useful to combat Covid-19 ?","How much do
you agree that the closure of schools and the resulting home-schooling is
necessary to fight against Covid-19?","How much do
you agree with the necessity of the lockdown against Covid-19, that is slowly getting repealed by
the government?","How much do you agree that the travel restrictions during Covid-19 are
necessary?","How much do
you think that centralized quarantine during Covid-19 is necessary?","Covering your nose and mouth prevents others from catching the virus you may have, but if the person in front of you has no cover, it would increase the risk of you catching the virus. How much do you agree that wearing a mask is useful to control the spread of Covid-19?","Covid-19
is said to be contracted also via air. A distance of 1,5 meters can make the
difference between having an infection or not. How much do you agree that the social
distancing order is useful?","Children are said to show little symptoms when
catching Covid-19 while being fully contagious, 
which poses a danger to people most at risk of having complications
caused by Covid-19. How much do you agree that the closure of schools and the resulting
home-schooling is necessary?","In big crowds of people, the corona-virus is
most likely to be contracted easily and to a lot of people. How much do you agree with
necessity of the lockdown, that is slowly getting repealed by the government?","Travel restrictions may slow down the outbreak
of the virus in countries, as people who live in a country with more cases of Covid-19 can't travel to countries with less cases. How much do you agree that the
travel restrictions are necessary?","It is known that the central quarantine reduces mobility, shown by German neighborhoods which complied to the measure slowing down Covid-19 spread. How much do you agree that the quarantine is necessary?",Age,Gender,Do you live in an urban or rural area?,Some people are at higher risk for severe illness from Covid-19 due to age and/or health complications. Are you one of these people?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26""}","{""ImportId"":""QID2""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID3""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}"
2020-06-10 12:57:54,2020-06-10 13:02:58,IP Address,77.47.80.88,100,304,True,2020-06-10 13:02:58,R_22Eq3JVIGuBkYKi,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,,,,,,,1,2,2,2,2,5,18 - 24,Male,Urban area,No
2020-06-10 13:03:45,2020-06-10 13:05:53,IP Address,87.157.9.251,100,128,True,2020-06-10 13:05:54,R_2v8KL7iGepmIaIZ,,,,,48.676605224609375,12.497406005859375,anonymous,EN,6,,,,,,,2,6,2,6,4,2,18 - 24,Male,Urban area,No
2020-06-10 13:14:14,2020-06-10 13:20:15,IP Address,62.216.206.108,100,360,True,2020-06-10 13:20:15,R_21zjJ2umAOcY5NS,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,1,,,,,,,2,1,1,1,1,2,18 - 24,Male,Urban area,No
2020-06-10 14:12:23,2020-06-10 14:19:59,IP Address,95.118.26.242,100,456,True,2020-06-10 14:19:59,R_xhirT7ohuaH8swh,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,,,,,,,1,2,2,2,3,2,18 - 24,Male,Urban area,No
2020-06-10 14:20:44,2020-06-10 14:22:11,IP Address,45.117.183.50,100,86,True,2020-06-10 14:22:11,R_sApbh7CY7vJ9szv,,,,,28.6331024169921875,77.220703125,anonymous,EN,2,,,,,,,2,1,1,2,2,1,18 - 24,Male,Urban area,No
2020-06-10 14:21:50,2020-06-10 14:24:15,IP Address,95.91.234.94,100,144,True,2020-06-10 14:24:15,R_1gvcE4g93JxUOwu,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,1,,,,,,,1,1,1,1,2,2,18 - 24,Male,Urban area,Yes
2020-06-10 15:48:47,2020-06-10 15:50:40,IP Address,77.47.80.88,100,113,True,2020-06-10 15:50:40,R_3pnBUtva3w0TsTe,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,3,,,,,,,1,1,1,1,1,1,18 - 24,Male,Urban area,No
2020-06-10 15:58:12,2020-06-10 16:00:07,IP Address,46.128.202.53,100,115,True,2020-06-10 16:00:07,R_1MZ0mYf6VOGfLjo,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,,,,,,,2,1,2,1,1,1,18 - 24,Male,Urban area,No
2020-06-10 16:16:20,2020-06-10 16:18:29,IP Address,201.82.51.92,100,129,True,2020-06-10 16:18:30,R_2zoIPZICFs6WcPD,,,,,-22.8950958251953125,-47.0438995361328125,anonymous,EN,1,,,,,,,1,1,1,2,2,1,18 - 24,Female,Urban area,No
2020-06-11 00:19:38,2020-06-11 00:21:58,IP Address,84.178.192.91,100,140,True,2020-06-11 00:21:58,R_sh7DXbNrkWWs3ux,,,,,49.194305419921875,12.5196075439453125,anonymous,EN,1,,,,,,,1,2,2,2,1,1,18 - 24,Female,Rural area,No
2020-06-11 02:32:25,2020-06-11 02:34:09,IP Address,79.201.92.150,100,104,True,2020-06-11 02:34:10,R_3n9ndoLjcX6LFdU,,,,,52.5204925537109375,13.2877960205078125,anonymous,EN,2,,,,,,,1,1,1,2,1,2,18 - 24,Male,Urban area,No
2020-06-10 15:35:05,2020-06-11 03:01:42,IP Address,138.246.2.202,100,41197,True,2020-06-11 03:01:43,R_78sjkXizI04Cxi1,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,4,,,,,,,1,2,3,1,3,3,18 - 24,Male,Urban area,No
2020-06-11 03:22:12,2020-06-11 03:23:58,IP Address,84.169.195.27,100,105,True,2020-06-11 03:23:58,R_2v2mqrS3qc5BDnY,,,,,48.1331024169921875,11.3755950927734375,anonymous,EN,1,,,,,,,1,1,3,2,1,1,18 - 24,Male,Urban area,No
2020-06-11 05:31:31,2020-06-11 05:32:30,IP Address,46.114.1.44,100,58,True,2020-06-11 05:32:30,R_2rMVjBs3HGb8c6U,,,,,50.118896484375,8.6920928955078125,anonymous,EN,1,,,,,,,2,2,3,1,3,2,18 - 24,Male,Urban area,No
2020-06-11 05:31:57,2020-06-11 05:33:25,IP Address,138.246.2.73,100,87,True,2020-06-11 05:33:25,R_bKkDSosnuC1HrFv,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,,,,,,,1,3,3,3,4,2,18 - 24,Female,Urban area,No
2020-06-11 06:43:41,2020-06-11 06:46:31,IP Address,177.195.1.153,100,169,True,2020-06-11 06:46:31,R_3QQwGFFk4iGwhv5,,,,,-22.9774932861328125,-46.9748992919921875,anonymous,EN,1,,,,,,,2,1,3,1,2,2,18 - 24,Male,Urban area,No
